user_id,password,birth,gender,job,mbti,age
0nyW7bfU4s,11|tT%\LQT|r,"2000-10-02 00:00:00",0,6,14,23
1EBCMZKKDV,_U$j&dXx-;b/,"2005-06-18 00:00:00",0,2,2,19
262oCzMLoC,"NZez"2<S={$d","1991-04-04 00:00:00",0,1,1,33
2bFpf1zyzA,s\)GO6pVZ]~`,"1953-01-07 00:00:00",1,4,7,71
2xVlJtH4hy,3y8~uL/C;M/F,"1976-09-01 00:00:00",0,2,12,47
2YO1O02Wdm,Fu**$3m2)wiD,"1972-11-29 00:00:00",0,7,12,51
3PbNApx2F0,Hw/vXj>_f$eo,"1992-10-12 00:00:00",1,2,15,31
4Gh8kdqTQo,`~g7\4-s1uAs,"1989-01-08 00:00:00",0,4,10,35
4VSjJWENlS,"E|P8B}"9]Ika","1979-02-19 00:00:00",0,3,6,45
5yBZynrppT,[q5a0G4OZwg.,"1979-05-26 00:00:00",1,7,8,45
7V6yXVeKHu,n89KIbZshFPR,"1996-08-17 00:00:00",1,7,6,27
8ikRaYYRHG,}s>*C))Prux0,"1996-09-30 00:00:00",0,2,9,27
8KHqIa1kf6,wfyV6]TaQv~E,"1992-06-10 00:00:00",0,3,7,32
8oEpy1PEjn,ae}EsRm%tt0+,"1997-05-19 00:00:00",0,4,2,27
8rmPowwh8H,vYZQAVg6rC8@,"1974-08-14 00:00:00",0,1,7,49
8SRu4c7Wz6,qsAME:blY0IL,"1951-02-17 00:00:00",1,2,6,73
8ZAkT4TWRF,-{Bd@i'jd18;,"1968-07-08 00:00:00",1,5,4,55
AN6PB0EChS,yAZ}64i4b-a?,"1970-05-01 00:00:00",1,6,12,54
cFpq2nN9XZ,cPzy-Vx(t?aT,"2003-05-20 00:00:00",0,4,15,21
cFw8Hp8gGO,$5oZEw&uLNM8,"1976-04-13 00:00:00",1,1,13,48
clzI9yEsPs,u73h*$?^_i@x,"2002-09-09 00:00:00",1,3,9,21
cMGKLbjH3o,&6A:i-qD8&Ll,"1984-01-08 00:00:00",1,1,9,40
dKUVR8BNNF,.J(+Mb\.+6$m,"1988-01-28 00:00:00",1,5,7,36
DoG8h53Bjk,__TI+RH8iRyO,"1961-06-24 00:00:00",1,9,6,62
DQQFLWjVRN,Myav$^iJ2<[Q,"1966-11-05 00:00:00",0,5,6,57
dTXBkd5u4Q,s:2m+oqU+XQ/,"1999-12-08 00:00:00",0,2,6,24
Dv68gyEDAc,xRS|*x&+IzL>,"1996-12-14 00:00:00",0,2,6,27
