age,job,mbti,gender,work,edu,free_time,health,chores,category_else
25,004,00,0,0.25,0.5,0.75,1.0,0.0,0
28,004,00,0,0.0,0.5,0.75,1.0,0.25,0
26,003,15,1,1.0,0.75,0.5,0.25,0.0,0
22,003,01,0,1.0,0.5,0.75,0.25,0.0,0
26,004,12,0,0.25,0.5,0.0,1.0,0.75,0
25,004,14,0,0.75,0.25,0.0,1.0,0.5,0
29,003,01,0,1.0,0.5,0.75,0.25,0.0,0
29,004,01,0,0.25,0.5,0.75,1.0,0.0,0
24,003,12,1,0.75,1.0,0.5,0.25,0.0,0
25,004,03,0,1.0,0.75,0.5,0.0,0.25,0
29,004,14,1,1.0,0.25,0.75,0.5,0.0,0
22,003,03,1,0.0,0.25,0.75,1.0,0.5,0
23,003,00,1,0.5,1.0,0.25,0.75,0.0,0
24,003,04,1,0.75,0.25,1.0,0.5,0.0,0
27,004,12,0,0.0,0.5,0.75,1.0,0.0,0
32,006,10,1,1.0,0.75,0.25,0.0,0.0,0
41,004,06,0,0.25,0.5,1.0,0.0,0.0,0
12,000,03,1,0.75,0.0,0.25,1.0,0.5,0
25,004,15,1,1.0,0.75,0.0,0.5,0.25,0
25,003,13,0,0.5,0.75,0.25,1.0,0.0,0
21,003,07,1,0.25,1.0,0.5,0.75,0.0,0
21,004,12,1,0.5,0.0,0.75,1.0,0.25,0
20,003,07,1,0.5,0.0,1.0,0.75,0.0,0
24,003,01,1,0.0,0.25,0.5,1.0,0.0,0
25,005,12,0,0.75,0.25,0.5,1.0,0.0,0
27,005,06,0,0.0,0.0,0.75,0.5,0.25,0
25,004,04,0,1.0,0.0,0.5,0.75,0.25,0
30,004,05,1,0.75,1.0,0.5,0.25,0.0,0
29,005,13,1,0.5,0.75,1.0,0.25,0.0,0
25,003,09,0,1.0,0.75,0.25,0.5,0.0,0
28,004,05,0,0.0,0.75,0.25,1.0,0.0,0
25,005,12,1,1.0,0.25,0.75,0.5,0.0,0
32,005,00,1,1.0,0.0,0.5,0.25,0.75,0
28,004,03,0,0.5,0.0,1.0,0.25,0.0,0
20,002,14,1,0.5,0.75,1.0,0.25,0.0,0
25,005,07,1,1.0,0.75,0.5,0.25,0.0,0
37,005,05,1,0.75,0.0,0.5,1.0,0.25,0
39,005,09,1,1.0,0.0,0.25,0.5,0.75,0
29,004,04,0,0.25,1.0,0.75,0.5,0.0,0
45,005,12,0,0.75,0.0,0.25,1.0,0.5,0
45,005,11,1,1.0,0.25,0.0,0.75,0.5,0
38,005,06,1,1.0,0.25,0.0,0.5,0.75,0
45,005,06,1,1.0,0.25,0.0,0.5,0.75,0
25,005,06,0,0.75,0.5,1.0,0.25,0.0,0
44,008,11,1,0.0,0.25,0.75,1.0,0.5,0
35,008,09,1,0.25,0.75,0.0,1.0,0.5,0
44,008,11,1,1.0,0.25,0.5,0.75,0.0,0
29,005,09,0,0.5,0.0,1.0,0.75,0.25,0
43,005,05,1,0.75,0.0,0.25,1.0,0.5,0
25,003,07,1,1.0,0.75,0.5,0.25,0.0,0
31,008,05,1,0.75,0.25,0.0,1.0,0.0,0
33,008,11,1,0.75,0.5,0.0,1.0,0.25,0
25,005,12,1,0.75,0.5,0.25,1.0,0.0,0
23,002,01,0,0.5,1.0,0.75,0.25,0.0,0
27,005,10,1,0.75,0.5,0.0,1.0,0.25,0
